date,where to buy bitcoin,isPartial,window_start,window_end
2015-03-27,34,False,2015-01-03,2015-07-01
2015-03-28,0,False,2015-01-03,2015-07-01
2015-03-29,0,False,2015-01-03,2015-07-01
2015-03-30,0,False,2015-01-03,2015-07-01
2015-03-31,33,False,2015-01-03,2015-07-01
2015-04-01,34,False,2015-01-03,2015-07-01
2015-04-02,0,False,2015-01-03,2015-07-01
2015-04-03,0,False,2015-01-03,2015-07-01
2015-04-04,0,False,2015-01-03,2015-07-01
2015-04-05,0,False,2015-01-03,2015-07-01
2015-04-06,35,False,2015-01-03,2015-07-01
2015-04-07,0,False,2015-01-03,2015-07-01
2015-04-08,0,False,2015-01-03,2015-07-01
2015-04-09,0,False,2015-01-03,2015-07-01
2015-04-10,71,False,2015-01-03,2015-07-01
2015-04-11,0,False,2015-01-03,2015-07-01
2015-04-12,79,False,2015-01-03,2015-07-01
2015-04-13,0,False,2015-01-03,2015-07-01
2015-04-14,33,False,2015-01-03,2015-07-01
2015-04-15,33,False,2015-01-03,2015-07-01
2015-04-16,0,False,2015-01-03,2015-07-01
2015-04-17,35,False,2015-01-03,2015-07-01
2015-04-18,0,False,2015-01-03,2015-07-01
2015-04-19,0,False,2015-01-03,2015-07-01
2015-04-20,0,False,2015-01-03,2015-07-01
2015-04-21,0,False,2015-01-03,2015-07-01
2015-04-22,33,False,2015-01-03,2015-07-01
2015-04-23,0,False,2015-01-03,2015-07-01
2015-04-24,0,False,2015-01-03,2015-07-01
2015-04-25,0,False,2015-01-03,2015-07-01
2015-04-26,39,False,2015-01-03,2015-07-01
2015-04-27,0,False,2015-01-03,2015-07-01
2015-04-28,33,False,2015-01-03,2015-07-01
2015-04-29,33,False,2015-01-03,2015-07-01
2015-04-30,34,False,2015-01-03,2015-07-01
2015-05-01,0,False,2015-01-03,2015-07-01
2015-05-02,0,False,2015-01-03,2015-07-01
2015-05-03,0,False,2015-01-03,2015-07-01
2015-05-04,0,False,2015-01-03,2015-07-01
2015-05-05,0,False,2015-01-03,2015-07-01
2015-05-06,0,False,2015-01-03,2015-07-01
2015-05-07,0,False,2015-01-03,2015-07-01
2015-05-08,35,False,2015-01-03,2015-07-01
2015-05-09,0,False,2015-01-03,2015-07-01
2015-05-10,0,False,2015-01-03,2015-07-01
2015-05-11,0,False,2015-01-03,2015-07-01
2015-05-12,0,False,2015-01-03,2015-07-01
2015-05-13,0,False,2015-01-03,2015-07-01
2015-05-14,0,False,2015-01-03,2015-07-01
2015-05-15,0,False,2015-01-03,2015-07-01
