date,bitcoin crash,isPartial,window_start,window_end
2015-05-18,0,False,2015-01-04,2015-07-02
2015-05-19,0,False,2015-01-04,2015-07-02
2015-05-20,24,False,2015-01-04,2015-07-02
2015-05-21,0,False,2015-01-04,2015-07-02
2015-05-22,0,False,2015-01-04,2015-07-02
2015-05-23,0,False,2015-01-04,2015-07-02
2015-05-24,29,False,2015-01-04,2015-07-02
2015-05-25,0,False,2015-01-04,2015-07-02
2015-05-26,47,False,2015-01-04,2015-07-02
2015-05-27,0,False,2015-01-04,2015-07-02
2015-05-28,0,False,2015-01-04,2015-07-02
2015-05-29,0,False,2015-01-04,2015-07-02
2015-05-30,0,False,2015-01-04,2015-07-02
2015-05-31,0,False,2015-01-04,2015-07-02
2015-06-01,24,False,2015-01-04,2015-07-02
2015-06-02,0,False,2015-01-04,2015-07-02
2015-06-03,0,False,2015-01-04,2015-07-02
2015-06-04,0,False,2015-01-04,2015-07-02
2015-06-05,0,False,2015-01-04,2015-07-02
2015-06-06,0,False,2015-01-04,2015-07-02
2015-06-07,0,False,2015-01-04,2015-07-02
2015-06-08,0,False,2015-01-04,2015-07-02
2015-06-09,0,False,2015-01-04,2015-07-02
2015-06-10,24,False,2015-01-04,2015-07-02
2015-06-11,0,False,2015-01-04,2015-07-02
2015-06-12,26,False,2015-01-04,2015-07-02
2015-06-13,0,False,2015-01-04,2015-07-02
2015-06-14,0,False,2015-01-04,2015-07-02
2015-06-15,0,False,2015-01-04,2015-07-02
2015-06-16,0,False,2015-01-04,2015-07-02
2015-06-17,0,False,2015-01-04,2015-07-02
2015-06-18,0,False,2015-01-04,2015-07-02
2015-06-19,0,False,2015-01-04,2015-07-02
2015-06-20,0,False,2015-01-04,2015-07-02
2015-06-21,0,False,2015-01-04,2015-07-02
2015-06-22,24,False,2015-01-04,2015-07-02
2015-06-23,25,False,2015-01-04,2015-07-02
2015-06-24,0,False,2015-01-04,2015-07-02
2015-06-25,0,False,2015-01-04,2015-07-02
2015-06-26,0,False,2015-01-04,2015-07-02
2015-06-27,0,False,2015-01-04,2015-07-02
2015-06-28,0,False,2015-01-04,2015-07-02
2015-06-29,0,False,2015-01-04,2015-07-02
2015-06-30,0,False,2015-01-04,2015-07-02
2015-07-01,0,False,2015-01-04,2015-07-02
2015-07-02,0,False,2015-01-04,2015-07-02
2015-01-05,0,False,2015-01-05,2015-07-03
2015-01-06,0,False,2015-01-05,2015-07-03
2015-01-07,0,False,2015-01-05,2015-07-03
2015-01-08,0,False,2015-01-05,2015-07-03
2015-01-09,0,False,2015-01-05,2015-07-03
2015-01-10,0,False,2015-01-05,2015-07-03
2015-01-11,59,False,2015-01-05,2015-07-03
2015-01-12,0,False,2015-01-05,2015-07-03
2015-01-13,100,False,2015-01-05,2015-07-03
2015-01-14,100,False,2015-01-05,2015-07-03
2015-01-15,0,False,2015-01-05,2015-07-03
2015-01-16,0,False,2015-01-05,2015-07-03
2015-01-17,0,False,2015-01-05,2015-07-03
2015-01-18,58,False,2015-01-05,2015-07-03
2015-01-19,0,False,2015-01-05,2015-07-03
2015-01-20,0,False,2015-01-05,2015-07-03
