date,sell bitcoin,isPartial,window_start,window_end
2015-06-19,0,False,2015-01-04,2015-07-02
2015-06-20,0,False,2015-01-04,2015-07-02
2015-06-21,30,False,2015-01-04,2015-07-02
2015-06-22,0,False,2015-01-04,2015-07-02
2015-06-23,0,False,2015-01-04,2015-07-02
2015-06-24,25,False,2015-01-04,2015-07-02
2015-06-25,25,False,2015-01-04,2015-07-02
2015-06-26,0,False,2015-01-04,2015-07-02
2015-06-27,30,False,2015-01-04,2015-07-02
2015-06-28,0,False,2015-01-04,2015-07-02
2015-06-29,75,False,2015-01-04,2015-07-02
2015-06-30,0,False,2015-01-04,2015-07-02
2015-07-01,50,False,2015-01-04,2015-07-02
2015-07-02,0,False,2015-01-04,2015-07-02
2015-01-05,78,False,2015-01-05,2015-07-03
2015-01-06,26,False,2015-01-05,2015-07-03
2015-01-07,26,False,2015-01-05,2015-07-03
2015-01-08,77,False,2015-01-05,2015-07-03
2015-01-09,0,False,2015-01-05,2015-07-03
2015-01-10,0,False,2015-01-05,2015-07-03
2015-01-11,30,False,2015-01-05,2015-07-03
2015-01-12,0,False,2015-01-05,2015-07-03
2015-01-13,0,False,2015-01-05,2015-07-03
2015-01-14,0,False,2015-01-05,2015-07-03
2015-01-15,25,False,2015-01-05,2015-07-03
2015-01-16,0,False,2015-01-05,2015-07-03
