,time,low,high,open,close,volume
95,1537052400.0,6518.68,6531.98,6520.0,6518.68,89.89103219
96,1537056000.0,6502.5,6521.75,6518.68,6508.0,91.45720581
97,1537059600.0,6490.0,6515.56,6507.99,6495.53,132.61225768
98,1537063200.0,6480.77,6500.0,6495.53,6493.13,136.78592385
99,1537066800.0,6479.55,6499.76,6493.12,6485.8,276.40573181
100,1537070400.0,6323.68,6485.81,6485.81,6449.55,989.6531216
101,1537074000.0,6445.43,6470.82,6449.55,6470.82,84.65176121
102,1537077600.0,6458.01,6470.82,6470.82,6465.35,41.71850136
103,1537081200.0,6444.8,6465.35,6465.34,6444.81,40.98479412
104,1537084800.0,6443.56,6500.0,6444.81,6482.61,89.03778046
105,1537088400.0,6478.57,6490.0,6482.6,6489.1,30.11224206
106,1537092000.0,6478.17,6515.0,6489.11,6506.0,119.50271697
107,1537095600.0,6496.11,6511.38,6506.0,6496.12,32.28046186
108,1537099200.0,6482.41,6505.0,6496.12,6504.48,55.51983903
109,1537102800.0,6479.9,6507.05,6504.48,6485.99,96.53525333
110,1537106400.0,6459.44,6486.96,6486.96,6479.36,109.36901389
111,1537110000.0,6465.79,6480.41,6479.36,6479.99,85.36966844
112,1537113600.0,6476.05,6490.0,6480.0,6482.36,109.05749555
113,1537117200.0,6411.44,6489.99,6482.3,6475.0,220.92780937
114,1537120800.0,6474.99,6489.93,6475.0,6485.0,137.5830004
115,1537124400.0,6484.69,6505.1,6484.99,6500.0,204.75490714
116,1537128000.0,6499.0,6509.0,6500.0,6501.01,118.71424324
117,1537131600.0,6490.0,6502.25,6501.01,6496.84,97.22062755
118,1537135200.0,6481.0,6496.85,6496.85,6494.69,106.13447385
119,1537138800.0,6488.5,6502.95,6494.69,6498.0,114.41472262
120,1537142400.0,6497.99,6529.75,6498.0,6520.01,329.84627636
121,1537146000.0,6510.28,6525.89,6520.53,6522.0,103.28185024
122,1537149600.0,6510.81,6522.0,6522.0,6519.99,280.88733553
123,1537153200.0,6501.01,6519.99,6519.99,6512.43,240.9177311
124,1537156800.0,6465.0,6514.36,6512.43,6472.05,329.51485232
125,1537160400.0,6459.54,6485.0,6472.68,6484.66,126.18620241
126,1537164000.0,6470.83,6485.0,6484.66,6485.0,61.59649354
127,1537167600.0,6463.0,6484.99,6484.99,6477.5,82.71166785
128,1537171200.0,6460.4,6477.5,6477.5,6473.22,90.50610209
129,1537174800.0,6412.84,6501.08,6473.22,6489.12,418.85983906
130,1537178400.0,6470.25,6498.04,6489.12,6470.25,156.32960871
131,1537182000.0,6460.87,6484.24,6470.26,6472.0,145.48219761
132,1537185600.0,6436.0,6472.0,6471.99,6447.18,275.52850363
133,1537189200.0,6385.0,6450.64,6447.17,6415.63,641.50125463
134,1537192800.0,6307.0,6419.15,6416.3,6350.39,1467.24700142
135,1537196400.0,6224.88,6350.4,6350.39,6261.3,1257.11536069
136,1537200000.0,6260.0,6289.8,6261.29,6260.01,528.08819174
137,1537203600.0,6255.84,6291.7,6260.01,6291.7,434.51394078
138,1537207200.0,6275.0,6314.03,6291.7,6294.21,404.86635046
139,1537210800.0,6245.0,6303.94,6294.22,6264.74,374.07917003
140,1537214400.0,6207.55,6266.87,6264.75,6216.0,866.90519228
141,1537218000.0,6216.0,6247.19,6216.0,6242.01,231.86957706
142,1537221600.0,6225.0,6264.23,6242.0,6247.69,268.88978263
143,1537225200.0,6247.11,6268.7,6247.69,6250.7,218.72529473
144,1537228800.0,6228.0,6255.0,6250.71,6252.01,201.40646079
145,1537232400.0,6243.63,6255.0,6252.0,6249.14,158.96887176
146,1537236000.0,6230.64,6252.66,6250.39,6246.06,194.67524422
147,1537239600.0,6233.37,6247.68,6246.06,6236.01,178.24428265
148,1537243200.0,6236.0,6260.52,6236.0,6260.51,251.91330131
149,1537246800.0,6260.01,6275.0,6260.51,6270.99,163.84948933
150,1537250400.0,6264.0,6275.0,6271.0,6268.5,103.84765558
151,1537254000.0,6265.58,6275.0,6268.49,6275.0,84.5382527
152,1537257600.0,6253.9,6280.0,6274.99,6253.91,226.54879648
153,1537261200.0,6235.36,6254.31,6253.9,6254.31,192.10491657
154,1537264800.0,6241.3,6258.73,6254.31,6244.51,119.01596196
155,1537268400.0,6236.72,6281.45,6244.5,6281.45,185.65285086
156,1537272000.0,6267.89,6332.0,6281.45,6321.19,472.31174667
157,1537275600.0,6321.18,6375.0,6321.19,6366.45,443.18837279
158,1537279200.0,6350.51,6369.99,6366.44,6361.72,262.21877898
159,1537282800.0,6340.71,6384.04,6361.71,6355.09,415.74969243
160,1537286400.0,6339.23,6360.81,6355.1,6344.98,326.4412858
161,1537290000.0,6307.32,6345.19,6344.97,6320.0,365.14134482
162,1537293600.0,6310.0,6336.39,6321.74,6332.5,331.8115844
163,1537297200.0,6292.0,6333.0,6332.5,6301.16,444.29735658
164,1537300800.0,6290.1,6329.0,6301.15,6317.22,309.84445881
165,1537304400.0,6310.0,6326.93,6317.22,6320.09,230.27960356
166,1537308000.0,6320.0,6358.63,6320.1,6348.41,326.04715981
167,1537311600.0,6329.99,6348.41,6348.41,6335.7,149.27047288
168,1537315200.0,6310.35,6335.7,6335.69,6312.08,180.92936095
169,1537318800.0,6312.09,6344.54,6312.09,6331.51,229.72816677
170,1537322400.0,6321.0,6339.42,6331.51,6339.36,187.39987608
171,1537326000.0,6325.01,6352.0,6339.36,6349.99,277.45004971
172,1537329600.0,6325.0,6350.0,6350.0,6333.12,130.36676921
173,1537333200.0,6330.7,6345.7,6333.12,6342.51,63.92042788
174,1537336800.0,6330.73,6350.0,6342.5,6344.81,208.34925888
175,1537340400.0,6318.5,6350.0,6344.82,6350.0,287.97905402
176,1537344000.0,6339.97,6355.0,6350.0,6339.97,57.15237997
177,1537347600.0,6290.44,6339.98,6339.98,6317.53,180.22740838
178,1537351200.0,6315.67,6330.0,6317.53,6315.68,69.06839144
179,1537354800.0,6268.17,6324.07,6315.68,6284.03,214.76065292
180,1537358400.0,6258.0,6298.8,6284.04,6290.0,297.19438877
181,1537362000.0,6279.57,6295.0,6289.99,6286.07,166.9983986
182,1537365600.0,6282.8,6342.32,6286.07,6320.34,305.08381785
183,1537369200.0,6316.75,6339.0,6320.35,6326.5,245.01722025
184,1537372800.0,6319.0,6331.2,6326.51,6321.68,166.57482451
185,1537376400.0,6316.49,6337.06,6324.16,6322.0,250.11488702
186,1537380000.0,6106.37,6322.0,6322.0,6154.27,1635.40892133
187,1537383600.0,6115.18,6511.0,6155.35,6410.01,4092.17837669
188,1537387200.0,6405.0,6459.0,6410.01,6421.32,813.08921253
189,1537390800.0,6372.21,6444.81,6421.32,6385.0,278.03876449
190,1537394400.0,6365.0,6394.9,6385.0,6385.0,248.84353029
191,1537398000.0,6374.47,6388.5,6384.99,6386.94,168.22279879
192,1537401600.0,6382.9,6417.54,6386.95,6415.01,210.26384366
193,1537405200.0,6396.05,6415.01,6415.01,6406.0,198.70900737
194,1537408800.0,6381.91,6406.0,6406.0,6385.01,120.79632535
195,1537412400.0,6381.91,6405.1,6385.0,6395.29,183.65489968
196,1537416000.0,6385.6,6403.0,6395.29,6387.93,111.03899014
197,1537419600.0,6380.0,6390.81,6387.93,6390.8,117.67678347
198,1537423200.0,6386.62,6402.82,6390.8,6396.01,87.70833415
199,1537426800.0,6394.69,6407.89,6396.01,6405.38,57.83153322
200,1537430400.0,6371.58,6405.38,6405.38,6388.0,259.59307134
201,1537434000.0,6378.15,6395.57,6387.99,6392.8,67.71360329
202,1537437600.0,6386.0,6406.83,6392.8,6406.83,99.66015795
203,1537441200.0,6403.35,6432.0,6406.83,6430.32,326.560695
204,1537444800.0,6420.0,6445.55,6430.32,6420.0,219.53342284
205,1537448400.0,6399.01,6424.12,6420.0,6421.01,225.0372942
206,1537452000.0,6412.99,6424.68,6421.0,6415.17,181.10209993
207,1537455600.0,6400.0,6420.0,6415.16,6411.82,305.46151932
208,1537459200.0,6408.13,6419.99,6411.82,6417.17,208.50986528
209,1537462800.0,6390.0,6419.96,6417.16,6395.0,448.37551672
210,1537466400.0,6388.0,6407.61,6394.99,6405.0,251.75167546
211,1537470000.0,6402.36,6431.29,6404.99,6419.03,366.13305136
212,1537473600.0,6337.0,6434.0,6419.02,6375.0,767.49744123
213,1537477200.0,6362.0,6519.99,6374.99,6500.86,829.36113839
214,1537480800.0,6470.0,6529.99,6500.85,6527.87,675.41847989
215,1537484400.0,6486.71,6530.0,6527.3,6493.11,500.21476563
216,1537488000.0,6493.11,6530.0,6493.11,6500.0,644.68150504
217,1537491600.0,6492.79,6504.64,6500.0,6498.0,268.456313
